age,gender,race_minority,years_education,disability,disease,anios_en_calle,family_contact,recieves_help,drug_consumption,avg_age_drug_consumption,lgbt_minority,ln_years_street
23.0,1,0,7.0,0,0,0.3333333333333333,1,1,1,15.0,0,-1.0986122886681098
26.0,0,0,7.0,0,0,6.0,1,1,1,16.333333333333332,0,1.791759469228055
69.0,1,0,15.0,1,0,8.0,1,0,0,0.0,0,2.0794415416798357
27.0,1,0,7.0,0,0,0.25,0,1,1,17.5,1,-1.3862943611198906
73.0,1,0,2.0,1,0,30.0,0,0,1,31.0,0,3.4011973816621555
37.0,1,0,13.0,1,0,0.08333333333333333,1,1,1,15.0,0,-2.4849066497880004
34.0,1,0,11.0,0,0,20.0,1,0,1,15.0,0,2.995732273553991
58.0,1,0,2.0,1,0,32.333333333333336,1,1,1,16.0,0,3.4760986898352733
60.0,1,0,13.0,1,0,21.0,0,0,0,0.0,0,3.044522437723423
27.0,1,0,13.0,0,0,2.0,1,0,0,0.0,0,0.6931471805599453
75.0,1,0,2.0,1,0,30.0,1,1,1,18.0,0,3.4011973816621555
68.0,1,0,11.0,0,0,1.25,0,0,0,0.0,0,0.22314355131420976
70.0,1,0,15.0,1,0,60.0,0,0,1,15.0,0,4.0943445622221
28.0,1,0,13.0,0,0,14.0,1,0,0,0.0,0,2.6390573296152584
26.0,1,0,7.0,1,0,8.0,0,1,1,17.0,0,2.0794415416798357
54.0,1,0,7.0,1,0,32.0,0,0,0,0.0,0,3.4657359027997265
68.0,1,0,13.0,1,0,8.0,0,1,0,0.0,0,2.0794415416798357
30.0,1,1,2.0,0,0,15.0,1,0,0,0.0,0,2.70805020110221
70.0,1,0,15.0,1,1,3.0,1,1,0,0.0,0,1.0986122886681098
29.0,1,0,11.0,0,0,1.5,0,0,1,21.0,0,0.4054651081081644
38.0,1,0,7.0,1,0,4.0,1,1,1,18.0,0,1.3862943611198906
70.0,1,0,7.0,1,0,17.0,0,1,1,40.0,0,2.833213344056216
73.0,1,0,7.0,0,0,2.25,1,1,0,0.0,0,0.8109302162163288
71.0,1,0,7.0,1,0,10.0,0,1,0,0.0,0,2.302585092994046
27.0,1,0,11.0,0,0,3.0,1,1,1,15.0,0,1.0986122886681098
29.0,1,0,11.0,0,0,15.0,1,0,0,0.0,0,2.70805020110221
60.0,1,0,2.0,1,0,15.0,0,0,1,15.0,0,2.70805020110221
32.0,1,0,15.0,1,0,20.0,0,1,0,0.0,0,2.995732273553991
38.0,1,0,2.0,1,0,29.0,0,1,1,15.0,0,3.367295829986474
29.0,1,0,13.0,1,0,10.0,0,1,1,17.0,0,2.302585092994046
60.0,1,0,15.0,0,0,10.0,0,1,1,25.0,0,2.302585092994046
29.0,1,1,11.0,0,0,12.0,1,0,1,15.0,0,2.4849066497880004
58.0,1,0,11.0,0,0,3.0,0,1,0,0.0,0,1.0986122886681098
60.0,1,0,7.0,1,1,20.666666666666668,1,0,0,0.0,0,3.028522096376982
47.0,1,0,15.0,1,0,34.0,1,1,1,15.0,0,3.5263605246161616
48.0,1,0,13.0,0,0,2.0,1,1,1,15.0,0,0.6931471805599453
41.0,1,0,11.0,1,0,1.0,1,1,1,17.5,0,0.0
31.0,1,0,13.0,0,0,4.0,0,1,1,21.75,0,1.3862943611198906
25.0,1,0,11.0,0,1,17.0,0,1,1,15.0,0,2.833213344056216
58.0,1,0,7.0,1,0,0.5833333333333334,0,1,1,46.666666666666664,0,-0.5389965007326869
64.0,1,0,15.0,1,0,35.0,0,1,0,0.0,0,3.5553480614894135
21.0,0,0,13.0,0,0,5.0,0,1,1,15.0,1,1.6094379124341003
56.0,1,0,13.0,0,0,40.0,1,0,1,15.6,0,3.6888794541139363
63.0,1,0,2.0,1,1,5.0,0,0,0,0.0,0,1.6094379124341003
15.0,0,0,7.0,1,0,2.0,0,1,1,15.0,0,0.6931471805599453
29.0,1,1,15.0,1,1,15.0,0,0,1,16.0,0,2.70805020110221
